student_id,course_id,course_name,topic,topic_quiz_score,mastery_level
STU014,BUS220,Business Analytics,Descriptive Statistics,90,Strong
STU014,BUS220,Business Analytics,Forecasting,96,Strong
STU014,BUS220,Business Analytics,Dashboards,100,Strong
STU014,BUS220,Business Analytics,Decision Making,100,Strong
STU014,MATH150,College Algebra,Linear Equations,53,Weak
STU014,MATH150,College Algebra,Functions,93,Strong
STU014,MATH150,College Algebra,Polynomials,44,Weak
STU014,MATH150,College Algebra,Exponents,66,Developing
STU014,MATH150,College Algebra,Quadratic Equations,75,Strong
STU014,MATH150,College Algebra,Graphing,71,Developing
STU015,CS101,Introduction to Python,Variables,65,Developing
STU015,CS101,Introduction to Python,Data Types,70,Developing
STU015,CS101,Introduction to Python,Loops,67,Developing
STU015,CS101,Introduction to Python,Functions,65,Developing
STU015,CS101,Introduction to Python,Lists,83,Strong
STU015,CS101,Introduction to Python,Dictionaries,77,Strong
STU015,CS101,Introduction to Python,File Handling,64,Developing
STU015,BUS220,Business Analytics,Excel,59,Weak
STU015,BUS220,Business Analytics,KPIs,52,Weak
STU015,BUS220,Business Analytics,Descriptive Statistics,58,Weak
STU015,BUS220,Business Analytics,Forecasting,56,Weak
STU015,BUS220,Business Analytics,Dashboards,39,Weak
STU015,BUS220,Business Analytics,Decision Making,42,Weak
STU016,DS201,Data Science Fundamentals,Data Cleaning,71,Developing
STU016,DS201,Data Science Fundamentals,Pandas,70,Developing
STU016,DS201,Data Science Fundamentals,Data Visualization,62,Developing
STU016,DS201,Data Science Fundamentals,Statistics,64,Developing
STU016,DS201,Data Science Fundamentals,Regression,78,Strong
STU016,DS201,Data Science Fundamentals,Classification,55,Weak
STU016,BUS220,Business Analytics,Excel,79,Strong
STU016,BUS220,Business Analytics,KPIs,70,Developing
STU016,BUS220,Business Analytics,Descriptive Statistics,70,Developing
STU016,BUS220,Business Analytics,Forecasting,86,Strong
STU016,BUS220,Business Analytics,Dashboards,82,Strong
STU016,BUS220,Business Analytics,Decision Making,82,Strong
STU017,DS201,Data Science Fundamentals,Data Cleaning,68,Developing
STU017,DS201,Data Science Fundamentals,Pandas,53,Weak
STU017,DS201,Data Science Fundamentals,Data Visualization,61,Developing
STU017,DS201,Data Science Fundamentals,Statistics,49,Weak
STU017,DS201,Data Science Fundamentals,Regression,56,Weak
STU017,DS201,Data Science Fundamentals,Classification,51,Weak
STU018,DS201,Data Science Fundamentals,Data Cleaning,79,Strong
STU018,DS201,Data Science Fundamentals,Pandas,85,Strong
STU018,DS201,Data Science Fundamentals,Data Visualization,68,Developing
STU018,DS201,Data Science Fundamentals,Statistics,100,Strong
STU018,DS201,Data Science Fundamentals,Regression,65,Developing
STU018,DS201,Data Science Fundamentals,Classification,63,Developing
STU018,CS101,Introduction to Python,Variables,75,Strong
STU018,CS101,Introduction to Python,Data Types,71,Developing
STU018,CS101,Introduction to Python,Loops,69,Developing
STU018,CS101,Introduction to Python,Functions,69,Developing
STU018,CS101,Introduction to Python,Lists,61,Developing
STU018,CS101,Introduction to Python,Dictionaries,51,Weak
STU018,CS101,Introduction to Python,File Handling,62,Developing
STU019,DS201,Data Science Fundamentals,Data Cleaning,58,Weak
STU019,DS201,Data Science Fundamentals,Pandas,78,Strong
STU019,DS201,Data Science Fundamentals,Data Visualization,65,Developing
STU019,DS201,Data Science Fundamentals,Statistics,57,Weak
STU019,DS201,Data Science Fundamentals,Regression,63,Developing
STU019,DS201,Data Science Fundamentals,Classification,71,Developing
STU019,CS101,Introduction to Python,Variables,55,Weak
STU019,CS101,Introduction to Python,Data Types,52,Weak
STU019,CS101,Introduction to Python,Loops,64,Developing
STU019,CS101,Introduction to Python,Functions,64,Developing
STU019,CS101,Introduction to Python,Lists,55,Weak
STU019,CS101,Introduction to Python,Dictionaries,56,Weak
STU019,CS101,Introduction to Python,File Handling,64,Developing
STU020,DS201,Data Science Fundamentals,Data Cleaning,82,Strong
STU020,DS201,Data Science Fundamentals,Pandas,83,Strong
STU020,DS201,Data Science Fundamentals,Data Visualization,91,Strong
STU020,DS201,Data Science Fundamentals,Statistics,97,Strong
STU020,DS201,Data Science Fundamentals,Regression,100,Strong
STU020,DS201,Data Science Fundamentals,Classification,100,Strong
STU020,CS101,Introduction to Python,Variables,81,Strong
STU020,CS101,Introduction to Python,Data Types,69,Developing
STU020,CS101,Introduction to Python,Loops,70,Developing
STU020,CS101,Introduction to Python,Functions,58,Weak
STU020,CS101,Introduction to Python,Lists,70,Developing
STU020,CS101,Introduction to Python,Dictionaries,67,Developing
STU020,CS101,Introduction to Python,File Handling,74,Developing
STU021,BUS220,Business Analytics,Excel,45,Weak
STU021,BUS220,Business Analytics,KPIs,61,Developing
STU021,BUS220,Business Analytics,Descriptive Statistics,73,Developing
STU021,BUS220,Business Analytics,Forecasting,53,Weak
STU021,BUS220,Business Analytics,Dashboards,59,Weak
STU021,BUS220,Business Analytics,Decision Making,63,Developing
STU022,CS101,Introduction to Python,Variables,80,Strong
STU022,CS101,Introduction to Python,Data Types,87,Strong
STU022,CS101,Introduction to Python,Loops,85,Strong
STU022,CS101,Introduction to Python,Functions,86,Strong
STU022,CS101,Introduction to Python,Lists,75,Strong
STU022,CS101,Introduction to Python,Dictionaries,85,Strong
STU022,CS101,Introduction to Python,File Handling,90,Strong
STU023,BUS220,Business Analytics,Excel,69,Developing
STU023,BUS220,Business Analytics,KPIs,63,Developing
STU023,BUS220,Business Analytics,Descriptive Statistics,77,Strong
STU023,BUS220,Business Analytics,Forecasting,42,Weak
STU023,BUS220,Business Analytics,Dashboards,62,Developing
STU023,BUS220,Business Analytics,Decision Making,54,Weak
STU024,MATH150,College Algebra,Linear Equations,100,Strong
STU024,MATH150,College Algebra,Functions,65,Developing
STU024,MATH150,College Algebra,Polynomials,64,Developing
STU024,MATH150,College Algebra,Exponents,67,Developing
STU024,MATH150,College Algebra,Quadratic Equations,49,Weak
STU024,MATH150,College Algebra,Graphing,68,Developing
STU025,DS201,Data Science Fundamentals,Data Cleaning,30,Weak
STU025,DS201,Data Science Fundamentals,Pandas,41,Weak
STU025,DS201,Data Science Fundamentals,Data Visualization,44,Weak
STU025,DS201,Data Science Fundamentals,Statistics,62,Developing
STU025,DS201,Data Science Fundamentals,Regression,51,Weak
STU025,DS201,Data Science Fundamentals,Classification,33,Weak
STU025,CS101,Introduction to Python,Variables,39,Weak
STU025,CS101,Introduction to Python,Data Types,55,Weak
STU025,CS101,Introduction to Python,Loops,34,Weak
STU025,CS101,Introduction to Python,Functions,71,Developing
STU025,CS101,Introduction to Python,Lists,64,Developing
STU025,CS101,Introduction to Python,Dictionaries,44,Weak
STU025,CS101,Introduction to Python,File Handling,30,Weak
STU026,MATH150,College Algebra,Linear Equations,91,Strong
STU026,MATH150,College Algebra,Functions,73,Developing
STU026,MATH150,College Algebra,Polynomials,89,Strong
STU026,MATH150,College Algebra,Exponents,55,Weak
STU026,MATH150,College Algebra,Quadratic Equations,67,Developing
STU026,MATH150,College Algebra,Graphing,75,Strong
STU026,CS101,Introduction to Python,Variables,83,Strong
STU026,CS101,Introduction to Python,Data Types,77,Strong
STU026,CS101,Introduction to Python,Loops,90,Strong
STU026,CS101,Introduction to Python,Functions,70,Developing
STU026,CS101,Introduction to Python,Lists,81,Strong
STU026,CS101,Introduction to Python,Dictionaries,84,Strong
STU026,CS101,Introduction to Python,File Handling,89,Strong
STU027,MATH150,College Algebra,Linear Equations,82,Strong
STU027,MATH150,College Algebra,Functions,60,Developing
STU027,MATH150,College Algebra,Polynomials,55,Weak
STU027,MATH150,College Algebra,Exponents,89,Strong
STU027,MATH150,College Algebra,Quadratic Equations,77,Strong
STU027,MATH150,College Algebra,Graphing,65,Developing
STU027,DS201,Data Science Fundamentals,Data Cleaning,88,Strong
STU027,DS201,Data Science Fundamentals,Pandas,71,Developing
STU027,DS201,Data Science Fundamentals,Data Visualization,84,Strong
STU027,DS201,Data Science Fundamentals,Statistics,70,Developing
STU027,DS201,Data Science Fundamentals,Regression,94,Strong
STU027,DS201,Data Science Fundamentals,Classification,91,Strong
STU028,BUS220,Business Analytics,Excel,64,Developing
STU028,BUS220,Business Analytics,KPIs,78,Strong
STU028,BUS220,Business Analytics,Descriptive Statistics,74,Developing
STU028,BUS220,Business Analytics,Forecasting,83,Strong
STU028,BUS220,Business Analytics,Dashboards,55,Weak
STU028,BUS220,Business Analytics,Decision Making,75,Strong
STU029,BUS220,Business Analytics,Excel,60,Developing
STU029,BUS220,Business Analytics,KPIs,30,Weak
STU029,BUS220,Business Analytics,Descriptive Statistics,33,Weak
STU029,BUS220,Business Analytics,Forecasting,30,Weak
STU029,BUS220,Business Analytics,Dashboards,44,Weak
STU029,BUS220,Business Analytics,Decision Making,56,Weak
STU030,BUS220,Business Analytics,Excel,78,Strong
STU030,BUS220,Business Analytics,KPIs,60,Developing
STU030,BUS220,Business Analytics,Descriptive Statistics,79,Strong
STU030,BUS220,Business Analytics,Forecasting,43,Weak
STU030,BUS220,Business Analytics,Dashboards,39,Weak
STU030,BUS220,Business Analytics,Decision Making,59,Weak
STU031,CS101,Introduction to Python,Variables,68,Developing
STU031,CS101,Introduction to Python,Data Types,63,Developing
STU031,CS101,Introduction to Python,Loops,39,Weak
STU031,CS101,Introduction to Python,Functions,62,Developing
STU031,CS101,Introduction to Python,Lists,48,Weak
STU031,CS101,Introduction to Python,Dictionaries,72,Developing
STU031,CS101,Introduction to Python,File Handling,68,Developing
STU032,DS201,Data Science Fundamentals,Data Cleaning,76,Strong
STU032,DS201,Data Science Fundamentals,Pandas,81,Strong
STU032,DS201,Data Science Fundamentals,Data Visualization,75,Strong
STU032,DS201,Data Science Fundamentals,Statistics,87,Strong
STU032,DS201,Data Science Fundamentals,Regression,99,Strong
STU032,DS201,Data Science Fundamentals,Classification,76,Strong
STU033,BUS220,Business Analytics,Excel,83,Strong
STU033,BUS220,Business Analytics,KPIs,70,Developing
STU033,BUS220,Business Analytics,Descriptive Statistics,67,Developing
STU033,BUS220,Business Analytics,Forecasting,75,Strong
STU033,BUS220,Business Analytics,Dashboards,64,Developing
STU033,BUS220,Business Analytics,Decision Making,70,Developing
STU034,BUS220,Business Analytics,Excel,30,Weak
STU034,BUS220,Business Analytics,KPIs,66,Developing
STU034,BUS220,Business Analytics,Descriptive Statistics,43,Weak
STU034,BUS220,Business Analytics,Forecasting,34,Weak
STU034,BUS220,Business Analytics,Dashboards,45,Weak
STU034,BUS220,Business Analytics,Decision Making,41,Weak
STU035,MATH150,College Algebra,Linear Equations,74,Developing
STU035,MATH150,College Algebra,Functions,84,Strong
STU035,MATH150,College Algebra,Polynomials,86,Strong
STU035,MATH150,College Algebra,Exponents,70,Developing
STU035,MATH150,College Algebra,Quadratic Equations,70,Developing
STU035,MATH150,College Algebra,Graphing,73,Developing
STU035,DS201,Data Science Fundamentals,Data Cleaning,37,Weak
STU035,DS201,Data Science Fundamentals,Pandas,46,Weak
STU035,DS201,Data Science Fundamentals,Data Visualization,81,Strong
STU035,DS201,Data Science Fundamentals,Statistics,84,Strong
STU035,DS201,Data Science Fundamentals,Regression,62,Developing
STU035,DS201,Data Science Fundamentals,Classification,71,Developing
STU036,BUS220,Business Analytics,Excel,64,Developing
STU036,BUS220,Business Analytics,KPIs,97,Strong
STU036,BUS220,Business Analytics,Descriptive Statistics,74,Developing
STU036,BUS220,Business Analytics,Forecasting,59,Weak
STU036,BUS220,Business Analytics,Dashboards,49,Weak
STU036,BUS220,Business Analytics,Decision Making,41,Weak
STU037,DS201,Data Science Fundamentals,Data Cleaning,83,Strong
STU037,DS201,Data Science Fundamentals,Pandas,71,Developing
STU037,DS201,Data Science Fundamentals,Data Visualization,63,Developing
STU037,DS201,Data Science Fundamentals,Statistics,73,Developing
STU037,DS201,Data Science Fundamentals,Regression,68,Developing
STU037,DS201,Data Science Fundamentals,Classification,100,Strong
STU038,CS101,Introduction to Python,Variables,98,Strong
STU038,CS101,Introduction to Python,Data Types,87,Strong
STU038,CS101,Introduction to Python,Loops,100,Strong
STU038,CS101,Introduction to Python,Functions,88,Strong
STU038,CS101,Introduction to Python,Lists,77,Strong
STU038,CS101,Introduction to Python,Dictionaries,100,Strong
STU038,CS101,Introduction to Python,File Handling,94,Strong
STU039,MATH150,College Algebra,Linear Equations,73,Developing
STU039,MATH150,College Algebra,Functions,83,Strong
STU039,MATH150,College Algebra,Polynomials,75,Strong
STU039,MATH150,College Algebra,Exponents,69,Developing
STU039,MATH150,College Algebra,Quadratic Equations,97,Strong
STU039,MATH150,College Algebra,Graphing,100,Strong
STU039,CS101,Introduction to Python,Variables,41,Weak
STU039,CS101,Introduction to Python,Data Types,64,Developing
STU039,CS101,Introduction to Python,Loops,50,Weak
STU039,CS101,Introduction to Python,Functions,52,Weak
STU039,CS101,Introduction to Python,Lists,50,Weak
STU039,CS101,Introduction to Python,Dictionaries,47,Weak
STU039,CS101,Introduction to Python,File Handling,58,Weak
STU040,DS201,Data Science Fundamentals,Data Cleaning,57,Weak
STU040,DS201,Data Science Fundamentals,Pandas,70,Developing
STU040,DS201,Data Science Fundamentals,Data Visualization,66,Developing
STU040,DS201,Data Science Fundamentals,Statistics,64,Developing
STU040,DS201,Data Science Fundamentals,Regression,56,Weak
STU040,DS201,Data Science Fundamentals,Classification,60,Developing
STU041,DS201,Data Science Fundamentals,Data Cleaning,86,Strong
STU041,DS201,Data Science Fundamentals,Pandas,83,Strong
STU041,DS201,Data Science Fundamentals,Data Visualization,65,Developing
STU041,DS201,Data Science Fundamentals,Statistics,78,Strong
STU041,DS201,Data Science Fundamentals,Regression,86,Strong
STU041,DS201,Data Science Fundamentals,Classification,56,Weak
STU042,DS201,Data Science Fundamentals,Data Cleaning,93,Strong
STU042,DS201,Data Science Fundamentals,Pandas,79,Strong
STU042,DS201,Data Science Fundamentals,Data Visualization,93,Strong
STU042,DS201,Data Science Fundamentals,Statistics,77,Strong
STU042,DS201,Data Science Fundamentals,Regression,65,Developing
STU042,DS201,Data Science Fundamentals,Classification,67,Developing
STU043,DS201,Data Science Fundamentals,Data Cleaning,64,Developing
STU043,DS201,Data Science Fundamentals,Pandas,67,Developing
STU043,DS201,Data Science Fundamentals,Data Visualization,53,Weak
STU043,DS201,Data Science Fundamentals,Statistics,71,Developing
STU043,DS201,Data Science Fundamentals,Regression,44,Weak
STU043,DS201,Data Science Fundamentals,Classification,63,Developing
STU043,CS101,Introduction to Python,Variables,54,Weak
STU043,CS101,Introduction to Python,Data Types,61,Developing
STU043,CS101,Introduction to Python,Loops,69,Developing
STU043,CS101,Introduction to Python,Functions,58,Weak
STU043,CS101,Introduction to Python,Lists,64,Developing
STU043,CS101,Introduction to Python,Dictionaries,81,Strong
STU043,CS101,Introduction to Python,File Handling,62,Developing
STU044,CS101,Introduction to Python,Variables,64,Developing
STU044,CS101,Introduction to Python,Data Types,40,Weak
STU044,CS101,Introduction to Python,Loops,60,Developing
STU044,CS101,Introduction to Python,Functions,71,Developing
STU044,CS101,Introduction to Python,Lists,30,Weak
STU044,CS101,Introduction to Python,Dictionaries,44,Weak
STU044,CS101,Introduction to Python,File Handling,60,Developing
STU045,DS201,Data Science Fundamentals,Data Cleaning,49,Weak
STU045,DS201,Data Science Fundamentals,Pandas,56,Weak
STU045,DS201,Data Science Fundamentals,Data Visualization,44,Weak
STU045,DS201,Data Science Fundamentals,Statistics,53,Weak
STU045,DS201,Data Science Fundamentals,Regression,50,Weak
STU045,DS201,Data Science Fundamentals,Classification,66,Developing
STU046,DS201,Data Science Fundamentals,Data Cleaning,88,Strong
STU046,DS201,Data Science Fundamentals,Pandas,89,Strong
STU046,DS201,Data Science Fundamentals,Data Visualization,80,Strong
STU046,DS201,Data Science Fundamentals,Statistics,79,Strong
STU046,DS201,Data Science Fundamentals,Regression,79,Strong
STU046,DS201,Data Science Fundamentals,Classification,89,Strong
STU047,DS201,Data Science Fundamentals,Data Cleaning,87,Strong
STU047,DS201,Data Science Fundamentals,Pandas,96,Strong
STU047,DS201,Data Science Fundamentals,Data Visualization,100,Strong
STU047,DS201,Data Science Fundamentals,Statistics,100,Strong
STU047,DS201,Data Science Fundamentals,Regression,89,Strong
STU047,DS201,Data Science Fundamentals,Classification,100,Strong
STU047,CS101,Introduction to Python,Variables,65,Developing
STU047,CS101,Introduction to Python,Data Types,45,Weak
STU047,CS101,Introduction to Python,Loops,57,Weak
STU047,CS101,Introduction to Python,Functions,47,Weak
STU047,CS101,Introduction to Python,Lists,65,Developing
STU047,CS101,Introduction to Python,Dictionaries,70,Developing
STU047,CS101,Introduction to Python,File Handling,90,Strong
STU048,DS201,Data Science Fundamentals,Data Cleaning,91,Strong
STU048,DS201,Data Science Fundamentals,Pandas,85,Strong
STU048,DS201,Data Science Fundamentals,Data Visualization,97,Strong
STU048,DS201,Data Science Fundamentals,Statistics,61,Developing
STU048,DS201,Data Science Fundamentals,Regression,90,Strong
STU048,DS201,Data Science Fundamentals,Classification,97,Strong
STU049,CS101,Introduction to Python,Variables,59,Weak
STU049,CS101,Introduction to Python,Data Types,90,Strong
STU049,CS101,Introduction to Python,Loops,81,Strong
STU049,CS101,Introduction to Python,Functions,72,Developing
STU049,CS101,Introduction to Python,Lists,84,Strong
STU049,CS101,Introduction to Python,Dictionaries,100,Strong
STU049,CS101,Introduction to Python,File Handling,79,Strong
STU049,BUS220,Business Analytics,Excel,63,Developing
STU049,BUS220,Business Analytics,KPIs,55,Weak
STU049,BUS220,Business Analytics,Descriptive Statistics,50,Weak
STU049,BUS220,Business Analytics,Forecasting,70,Developing
STU049,BUS220,Business Analytics,Dashboards,50,Weak
STU049,BUS220,Business Analytics,Decision Making,61,Developing
STU050,CS101,Introduction to Python,Variables,71,Developing
STU050,CS101,Introduction to Python,Data Types,82,Strong
STU050,CS101,Introduction to Python,Loops,81,Strong
STU050,CS101,Introduction to Python,Functions,89,Strong
STU050,CS101,Introduction to Python,Lists,70,Developing
STU050,CS101,Introduction to Python,Dictionaries,73,Developing
STU050,CS101,Introduction to Python,File Handling,65,Developing
STU050,DS201,Data Science Fundamentals,Data Cleaning,90,Strong
STU050,DS201,Data Science Fundamentals,Pandas,100,Strong
STU050,DS201,Data Science Fundamentals,Data Visualization,100,Strong
STU050,DS201,Data Science Fundamentals,Statistics,84,Strong
STU050,DS201,Data Science Fundamentals,Regression,100,Strong
STU050,DS201,Data Science Fundamentals,Classification,100,Strong
STU051,MATH150,College Algebra,Linear Equations,75,Strong
STU051,MATH150,College Algebra,Functions,93,Strong
STU051,MATH150,College Algebra,Polynomials,61,Developing
STU051,MATH150,College Algebra,Exponents,56,Weak
STU051,MATH150,College Algebra,Quadratic Equations,49,Weak
STU051,MATH150,College Algebra,Graphing,88,Strong
STU051,CS101,Introduction to Python,Variables,100,Strong
STU051,CS101,Introduction to Python,Data Types,96,Strong
STU051,CS101,Introduction to Python,Loops,100,Strong
STU051,CS101,Introduction to Python,Functions,83,Strong
STU051,CS101,Introduction to Python,Lists,100,Strong
STU051,CS101,Introduction to Python,Dictionaries,98,Strong
STU051,CS101,Introduction to Python,File Handling,98,Strong
STU052,MATH150,College Algebra,Linear Equations,43,Weak
STU052,MATH150,College Algebra,Functions,40,Weak
STU052,MATH150,College Algebra,Polynomials,37,Weak
STU052,MATH150,College Algebra,Exponents,30,Weak
STU052,MATH150,College Algebra,Quadratic Equations,40,Weak
STU052,MATH150,College Algebra,Graphing,57,Weak
STU052,DS201,Data Science Fundamentals,Data Cleaning,100,Strong
STU052,DS201,Data Science Fundamentals,Pandas,100,Strong
STU052,DS201,Data Science Fundamentals,Data Visualization,78,Strong
STU052,DS201,Data Science Fundamentals,Statistics,73,Developing
STU052,DS201,Data Science Fundamentals,Regression,83,Strong
STU052,DS201,Data Science Fundamentals,Classification,85,Strong
STU053,MATH150,College Algebra,Linear Equations,86,Strong
STU053,MATH150,College Algebra,Functions,52,Weak
STU053,MATH150,College Algebra,Polynomials,91,Strong
STU053,MATH150,College Algebra,Exponents,71,Developing
STU053,MATH150,College Algebra,Quadratic Equations,67,Developing
STU053,MATH150,College Algebra,Graphing,60,Developing
STU053,BUS220,Business Analytics,Excel,47,Weak
STU053,BUS220,Business Analytics,KPIs,76,Strong
STU053,BUS220,Business Analytics,Descriptive Statistics,67,Developing
STU053,BUS220,Business Analytics,Forecasting,51,Weak
STU053,BUS220,Business Analytics,Dashboards,51,Weak
STU053,BUS220,Business Analytics,Decision Making,62,Developing
STU054,CS101,Introduction to Python,Variables,93,Strong
STU054,CS101,Introduction to Python,Data Types,69,Developing
STU054,CS101,Introduction to Python,Loops,54,Weak
STU054,CS101,Introduction to Python,Functions,70,Developing
STU054,CS101,Introduction to Python,Lists,69,Developing
STU054,CS101,Introduction to Python,Dictionaries,40,Weak
STU054,CS101,Introduction to Python,File Handling,72,Developing
