student_id,course_id,course_name,exam_days_away,weekly_study_hours,preferred_session_minutes,study_style,latest_quiz_score,missed_sessions,risk_level
STU074,CS101,Introduction to Python,21,10,60,Practice-based,72,1,Needs Support
STU074,MATH150,College Algebra,18,10,60,Practice-based,100,3,On Track
STU075,BUS220,Business Analytics,24,6,30,Mixed,68,4,Needs Support
STU076,CS101,Introduction to Python,21,10,60,Practice-based,76,3,On Track
STU076,BUS220,Business Analytics,24,10,60,Practice-based,71,3,Needs Support
STU077,CS101,Introduction to Python,21,5,60,Visual,53,0,High Risk
STU077,MATH150,College Algebra,18,5,60,Visual,90,2,On Track
STU078,CS101,Introduction to Python,21,7,30,Mixed,84,0,On Track
STU078,DS201,Data Science Fundamentals,28,7,30,Mixed,84,3,On Track
STU079,BUS220,Business Analytics,24,7,30,Visual,57,4,High Risk
STU079,MATH150,College Algebra,18,7,30,Visual,94,0,On Track
STU080,BUS220,Business Analytics,24,12,45,Reading,49,4,High Risk
STU081,DS201,Data Science Fundamentals,28,8,45,Mixed,81,1,On Track
STU081,BUS220,Business Analytics,24,8,45,Mixed,100,0,On Track
STU082,MATH150,College Algebra,18,10,25,Visual,56,4,High Risk
STU082,BUS220,Business Analytics,24,10,25,Visual,62,4,Needs Support
STU083,DS201,Data Science Fundamentals,28,6,45,Visual,73,3,Needs Support
STU084,BUS220,Business Analytics,24,12,45,Reading,63,2,Needs Support
STU084,MATH150,College Algebra,18,12,45,Reading,47,4,High Risk
STU085,DS201,Data Science Fundamentals,28,5,60,Practice-based,73,4,Needs Support
STU085,MATH150,College Algebra,18,5,60,Practice-based,55,4,High Risk
STU086,CS101,Introduction to Python,21,12,25,Practice-based,79,0,On Track
STU087,DS201,Data Science Fundamentals,28,5,45,Reading,57,1,High Risk
STU088,CS101,Introduction to Python,21,8,45,Mixed,96,0,On Track
STU088,BUS220,Business Analytics,24,8,45,Mixed,59,1,High Risk
STU089,BUS220,Business Analytics,24,8,30,Practice-based,66,4,Needs Support
STU090,BUS220,Business Analytics,24,6,45,Mixed,85,0,On Track
STU091,BUS220,Business Analytics,24,8,45,Practice-based,52,4,High Risk
STU091,DS201,Data Science Fundamentals,28,8,45,Practice-based,75,3,On Track
STU092,MATH150,College Algebra,18,10,60,Mixed,92,1,On Track
STU092,DS201,Data Science Fundamentals,28,10,60,Mixed,46,2,High Risk
STU093,BUS220,Business Analytics,24,15,30,Visual,74,3,Needs Support
STU093,DS201,Data Science Fundamentals,28,15,30,Visual,76,0,On Track
STU094,MATH150,College Algebra,18,10,25,Practice-based,84,4,On Track
STU095,CS101,Introduction to Python,21,7,30,Practice-based,52,0,High Risk
STU096,CS101,Introduction to Python,21,7,60,Visual,50,1,High Risk
STU097,BUS220,Business Analytics,24,7,60,Mixed,80,0,On Track
STU097,MATH150,College Algebra,18,7,60,Mixed,76,0,On Track
STU098,BUS220,Business Analytics,24,6,25,Visual,76,4,On Track
STU099,CS101,Introduction to Python,21,7,30,Mixed,77,0,On Track
STU099,BUS220,Business Analytics,24,7,30,Mixed,61,3,Needs Support
STU100,CS101,Introduction to Python,21,7,25,Mixed,75,3,On Track
STU100,DS201,Data Science Fundamentals,28,7,25,Mixed,76,2,On Track
